Index,Surname,#Awards,Education,DBLP
417,Poel,2,"['Delft University of Technology', 'B.S.', 'University of Amsterdam', 'Ph.D.']",179
418,Post,0,"['City College of New York', '[1]', 'Columbia University', '[2]']",162
419,Postel,6,['UCLA'],231
420,Preparata,2,['University of Rome'],199
421,Press,0,"['Harvard University', 'California Institute of Technology']",201
422,Péter,0,[],8
423,Pătrașcu,0,['Massachusetts Institute of Technology'],97
424,Quevedo,1,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']",4
425,Rabin,10,"['Hebrew University of Jerusalem', 'MSc', 'University of Pennsylvania', 'Princeton University', 'PhD']",268
426,Radev,2,[],310
427,Raman,4,[],0
428,Randell,0,['Imperial College London'],112
429,Ravn,2,"['University of Copenhagen', 'Technical University of Denmark']",132
430,Reddy,6,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University', 'PhD']",733
431,Reed,0,['MIT'],322
432,Reenskaug,0,[],18
433,Reynolds,2,"['Purdue University', 'Ph.D.', 'Harvard University']",70
434,Richards,0,[],185
435,Ries,0,[],16
436,Rijsbergen,1,"['University of Western Australia', 'University of Cambridge']",0
437,Ritchie,8,"['Harvard University', 'BS']",16
438,Rivest,5,"['Stanford University', 'Yale University']",234
439,Robinson,2,['University of Sydney'],113
440,Rolland,0,['University of Nancy'],178
441,Romero,0,[],164
442,Rosenfeld,3,[],461
443,Ross,3,"['Oberlin College', 'B.Sc.', 'Massachusetts Institute of Technology', 'M.Sc.']",138
444,Rossum,2,['University of Amsterdam'],14
445,Rothman,0,['United States Patent and Trademark Office'],0
446,Rozenberg,10,['Polish Academy of Sciences'],615
447,Rucker,0,"['St. Xavier High School', 'Swarthmore College', 'BA', 'Rutgers University', 'MS', 'PhD']",5
448,Rudich,1,[],40
449,Rulifson,25,"['University of Washington', 'Stanford University']",6
450,Rumbaugh,0,[],50
451,Ružička,4,['Comenius University in Bratislava'],48
452,Sadowsky,0,['Harvard University'],2
453,Sadrzadeh,0,"['Université du Québec à Montréal', 'Sharif University of Technology']",119
454,Saif,0,"['Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']",54
455,Salton,6,"['Brooklyn College', 'Harvard University']",183
456,Sammet,3,"['Mount Holyoke College', 'B.A.', 'University of Illinois at Urbana Champaign', 'M.A.', 'Columbia University']",56
457,Sammut,0,[],133
458,Satyanarayanan,5,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']",220
459,Savitch,0,"['University of California, Berkeley']",32
460,Schaeffer,2,"['University of Waterloo', 'University of Toronto']",278
461,Schmidhuber,0,['Technical University of Munich'],462
462,Schneider,0,['University of Oxford'],230
463,Schneier,0,"['American University', 'University of Rochester']",164
464,Schoenebeck,6,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']",78
