Unnamed: 0,Surname,#Awards,Education,DBLP
282,Humphrey,1,['United States Navy'],51
283,Hutchins,0,[],3
284,Ichbiah,6,[],11
285,Ierusalimschy,0,['Pontifical Catholic University of Rio de Janeiro'],73
286,Ingalls,2,"['Harvard University', 'B.A.', 'Stanford University', 'M.S.']",33
287,Irwin,3,"['University of Illinois at Urbana-Champaign', 'Memphis State University']",379
288,Iverson,4,"[""Queen's University"", 'Harvard University']",45
289,Jacobson,0,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']",73
290,Jain,10,"['Indian Institute of Technology, Kanpur', 'Ohio State University']",569
291,Jain,0,"['Indian Institute of Technology, Kharagpur', 'Visvesvaraya National Institute of Technology Nagpur']",569
292,James,0,[],1228
293,Johnson,2,"['Amherst College', 'MIT']",453
294,Johnson,0,"['Columbia University', 'Haverford College']",453
295,Jones,0,['University of Oxford'],662
296,Jordan,5,"['University of California, San Diego']",1216
297,Joseph,2,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']",51
298,Joshi,12,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']",192
299,Joy,4,"['University of Michigan', 'University of California, Berkeley']",41
300,Jurafsky,2,"['University of California at Berkeley', '[2]']",317
301,Kahan,4,['University of Toronto'],37
302,Kahn,12,"['City College of New York', 'Princeton University']",17
303,Kak,0,"['University of Madras', 'Indian Institute of Technology, Delhi']",180
305,Karger,1,"['Harvard University', 'Stanford University']",297
306,Karp,10,['Harvard University'],343
307,Karmarkar,11,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']",22
308,Karpinski,0,[],349
309,Kaehler,0,"['Stanford University', 'B.S.', 'Carnegie Mellon University', 'MSc']",7
310,Kay,3,"['University of Colorado at Boulder', 'BS', 'University of Utah College of Engineering', 'MS', 'PhD']",110
311,Kayal,8,['IIT Kanpur'],78
312,Kellis,3,['Massachusetts Institute of Technology'],46
313,Kemeny,2,['Princeton University'],11
314,Kennedy,0,"['Rice University', 'New York University']",3115
315,Kernighan,0,"['University of Toronto', 'BASc', 'Princeton University', 'PhD']",54
316,Kesselman,0,[],172
317,Kiczales,0,['Massachusetts Institute of Technology'],69
318,Kirstein,3,"['University of Cambridge', 'Stanford University']",56
319,Kleene,2,"['Amherst College', 'Princeton University']",12
320,Klein,4,"['Cornell University', 'University of Oxford', 'Stanford University']",877
321,Kleinrock,5,"['City College of New York', 'MIT']",180
322,Knuth,14,"['Case Institute of Technology', 'BS', 'MS', 'California Institute of Technology', 'PhD']",186
323,Koenig,0,['Columbia University'],74
324,Koller,5,"['Hebrew University of Jerusalem', 'Stanford University']",264
325,Kölling,3,"['University of Bremen', 'University of Sydney']",119
326,Kolmogorov,7,"['Moscow State University', 'Ph.D.']",7
327,Kolodner,2,"['Brandeis University', 'Yale University']",70
328,Korn,0,[],131
329,Koster,0,['University of Amsterdam'],51
330,Kowalski,2,"['University of Chicago', 'University of Bridgeport', 'BA', 'Stanford University', 'MSc', 'University of Warsaw', 'University of Edinburgh', 'PhD']",140
331,Koza,0,[],90
332,Krogstie,0,[],261
333,Kruskal,0,"['University of Chicago', 'Princeton University']",10
334,Kruusmaa,4,"['Tallinn University of Technology', 'Chalmers University of Technology']",57
335,Kurtz,2,"['Princeton University', 'Knox College', 'mathematics']",44
336,Ladner,5,"[""St. Mary's College of California"", 'University of California, Berkeley']",254
337,Lam,9,['Carnegie Mellon University'],224
338,Lamport,6,"['Massachusetts Institute of Technology', 'BS', 'Brandeis University', 'MA', 'PhD']",173
339,Lampson,6,"['Harvard University', 'University of California, Berkeley']",82
340,Landin,0,"['Clare College', 'Cambridge University']",40
341,Lane,0,"['Carnegie Mellon University', 'Ph.D.']",86
342,Langefors,0,['Stockholm University'],9
343,Lattner,2,"['University of Portland', 'University of Illinois at Urbana-Champaign']",14
344,Lawrence,8,[],350
345,Lazowska,0,"['Brown University', 'University of Toronto']",107
346,Lederberg,3,"['Stuyvesant High School', 'Columbia University', 'Yale University']",6
348,Leiserson,0,"['Carnegie Mellon University', 'Yale University']",136
349,Lenat,2,"['University of Pennsylvania', 'Stanford University']",65
